campus_id,campus_name,building_id,year,month,total_kw_consumed,total_gas_consumed,total_water_consumed,scope_1_emissions,scope_2_emissions,total_emissions,category,gross_floor_area,carbon_intensity
1,Bundoora,3,2019.0,4.0,2274.89,0.0,0.0,0.0,0.91,0.91,other,,0.0
1,Bundoora,3,2019.0,5.0,1548.96,0.0,0.0,0.0,0.62,0.62,other,,0.0
1,Bundoora,3,2019.0,6.0,2551.8,0.0,0.0,0.0,1.02,1.02,other,,0.0
1,Bundoora,3,2019.0,7.0,2564.9,0.0,0.0,0.0,1.03,1.03,other,,0.0
1,Bundoora,3,2019.0,8.0,2424.68,0.0,0.0,0.0,0.97,0.97,other,,0.0
1,Bundoora,3,2019.0,9.0,2147.37,0.0,0.0,0.0,0.86,0.86,other,,0.0
1,Bundoora,3,2019.0,10.0,1969.46,0.0,0.0,0.0,0.79,0.79,other,,0.0
1,Bundoora,3,2019.0,11.0,1586.71,0.0,0.0,0.0,0.63,0.63,other,,0.0
1,Bundoora,3,2019.0,12.0,1537.24,0.0,0.0,0.0,0.61,0.61,other,,0.0
1,Bundoora,3,2020.0,1.0,1695.27,0.0,0.0,0.0,0.68,0.68,other,,0.0
1,Bundoora,3,2020.0,2.0,1660.79,0.0,0.0,0.0,0.66,0.66,other,,0.0
1,Bundoora,3,2020.0,3.0,1939.58,0.0,0.0,0.0,0.78,0.78,other,,0.0
1,Bundoora,3,2020.0,4.0,1896.49,0.0,0.0,0.0,0.76,0.76,other,,0.0
1,Bundoora,3,2020.0,5.0,2421.59,0.0,0.0,0.0,0.97,0.97,other,,0.0
1,Bundoora,3,2020.0,6.0,2084.53,0.0,0.0,0.0,0.83,0.83,other,,0.0
1,Bundoora,3,2020.0,7.0,2025.49,0.0,0.0,0.0,0.81,0.81,other,,0.0
1,Bundoora,3,2020.0,8.0,1921.39,0.0,0.0,0.0,0.77,0.77,other,,0.0
1,Bundoora,3,2020.0,9.0,1628.31,0.0,0.0,0.0,0.65,0.65,other,,0.0
1,Bundoora,3,2020.0,10.0,1633.44,0.0,0.0,0.0,0.65,0.65,other,,0.0
1,Bundoora,3,2020.0,11.0,1479.98,0.0,0.0,0.0,0.59,0.59,other,,0.0
1,Bundoora,3,2020.0,12.0,1682.69,0.0,0.0,0.0,0.67,0.67,other,,0.0
1,Bundoora,3,2021.0,1.0,1520.67,0.0,0.0,0.0,0.61,0.61,other,,0.0
1,Bundoora,3,2021.0,2.0,1435.94,0.0,0.0,0.0,0.57,0.57,other,,0.0
1,Bundoora,3,2021.0,3.0,1812.42,0.0,0.0,0.0,0.72,0.72,other,,0.0
1,Bundoora,3,2021.0,4.0,1382.74,0.0,0.0,0.0,0.55,0.55,other,,0.0
1,Bundoora,4,2018.0,1.0,21668.08,0.0,0.0,0.0,8.67,8.67,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2018.0,2.0,22530.77,0.0,0.0,0.0,9.01,9.01,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2018.0,3.0,24462.91,0.0,0.0,0.0,9.79,9.79,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,4.0,21463.87,0.0,0.0,0.0,8.59,8.59,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2018.0,5.0,24126.81,62.88,0.0,0.33,9.65,9.98,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,6.0,24554.27,69.43,0.0,0.37,9.82,10.19,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,7.0,24335.19,74.27,0.0,0.39,9.73,10.13,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,8.0,27050.53,72.25,0.0,0.38,10.82,11.2,mixed use,145558.14000000016,8e-05
1,Bundoora,4,2018.0,9.0,23547.83,68.27,0.0,0.36,9.42,9.78,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,10.0,25333.88,63.52,0.0,0.34,10.13,10.47,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2018.0,11.0,22125.28,56.85,0.0,0.3,8.85,9.15,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2018.0,12.0,19691.04,32.59,0.0,0.17,7.88,8.05,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,1.0,22209.52,29.18,0.0,0.15,8.88,9.04,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,2.0,19762.46,41.68,0.0,0.22,7.9,8.13,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,3.0,24291.21,49.82,0.0,0.26,9.72,9.98,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2019.0,4.0,20873.39,53.77,0.0,0.28,8.35,8.63,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,5.0,22492.02,63.54,0.0,0.34,9.0,9.33,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,6.0,19253.8,65.78,0.0,0.35,7.7,8.05,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,7.0,20426.29,69.06,0.0,0.37,8.17,8.54,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,8.0,23360.13,69.95,0.0,0.37,9.34,9.71,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2019.0,9.0,21667.44,61.79,0.0,0.33,8.67,8.99,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2019.0,10.0,23128.34,56.9,0.0,0.3,9.25,9.55,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2019.0,11.0,19345.86,48.67,0.0,0.26,7.74,8.0,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2019.0,12.0,18477.2,26.84,0.0,0.14,7.39,7.53,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2020.0,1.0,20823.15,0.0,0.0,0.0,8.33,8.33,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2020.0,2.0,18241.8,0.0,0.0,0.0,7.3,7.3,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2020.0,3.0,16419.99,0.0,0.0,0.0,6.57,6.57,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2020.0,4.0,6500.57,0.0,0.0,0.0,2.6,2.6,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,5.0,6652.61,0.0,0.0,0.0,2.66,2.66,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,6.0,8722.73,0.0,0.0,0.0,3.49,3.49,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,7.0,9014.51,0.0,0.0,0.0,3.61,3.61,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,8.0,6009.82,0.0,0.0,0.0,2.4,2.4,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,9.0,5868.79,0.0,0.0,0.0,2.35,2.35,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,10.0,7509.92,0.0,0.0,0.0,3.0,3.0,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,11.0,7020.14,0.0,0.0,0.0,2.81,2.81,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2020.0,12.0,7125.16,0.0,0.0,0.0,2.85,2.85,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2021.0,1.0,7061.94,37.04,2176.16,0.2,2.82,3.02,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2021.0,2.0,6354.35,44.24,2219.26,0.23,2.54,2.78,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2021.0,3.0,7352.94,46.81,2212.44,0.25,2.94,3.19,mixed use,145558.14000000016,2e-05
1,Bundoora,4,2021.0,4.0,4559.64,51.24,2251.17,0.27,1.82,2.1,mixed use,145558.14000000016,1e-05
1,Bundoora,4,2021.0,5.0,24591.66,57.09,2260.79,0.3,9.84,10.14,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2021.0,6.0,21662.92,55.11,2272.9,0.29,8.67,8.96,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2021.0,7.0,24053.28,59.26,2285.99,0.31,9.62,9.94,mixed use,145558.14000000016,7e-05
1,Bundoora,4,2021.0,8.0,22562.71,53.67,2298.98,0.28,9.03,9.31,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2021.0,9.0,19075.52,50.34,2326.5,0.27,7.63,7.9,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2021.0,10.0,20113.61,47.8,15880.64,0.25,8.05,8.3,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2021.0,11.0,18474.46,47.27,15268.09,0.25,7.39,7.64,mixed use,145558.14000000016,5e-05
1,Bundoora,4,2021.0,12.0,20072.12,30.74,22721.16,0.16,8.03,8.19,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2022.0,1.0,20142.35,0.0,25910.55,0.0,8.06,8.06,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2022.0,2.0,20173.7,0.0,25949.7,0.0,8.07,8.07,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2022.0,3.0,23067.43,0.0,18853.0,0.0,9.23,9.23,mixed use,145558.14000000016,6e-05
1,Bundoora,4,2022.0,4.0,21221.8,0.0,3869.2,0.0,8.49,8.49,mixed use,145558.14000000016,6e-05
1,Bundoora,5,2018.0,1.0,49160.17,0.0,0.0,0.0,19.66,19.66,other,0.0,0.0
1,Bundoora,5,2018.0,2.0,47663.89,0.0,0.0,0.0,19.07,19.07,other,0.0,0.0
1,Bundoora,5,2018.0,3.0,50138.29,0.0,0.0,0.0,20.06,20.06,other,0.0,0.0
1,Bundoora,5,2018.0,4.0,49521.92,0.0,0.0,0.0,19.81,19.81,other,0.0,0.0
1,Bundoora,5,2018.0,5.0,46306.09,0.0,0.0,0.0,18.52,18.52,other,0.0,0.0
1,Bundoora,5,2018.0,6.0,48354.77,0.0,0.0,0.0,19.34,19.34,other,0.0,0.0
1,Bundoora,5,2018.0,7.0,57875.36,0.0,0.0,0.0,23.15,23.15,other,0.0,0.0
1,Bundoora,5,2018.0,8.0,52845.48,0.0,0.0,0.0,21.14,21.14,other,0.0,0.0
1,Bundoora,5,2018.0,9.0,56209.98,0.0,0.0,0.0,22.48,22.48,other,0.0,0.0
1,Bundoora,5,2018.0,10.0,58348.35,0.0,0.0,0.0,23.34,23.34,other,0.0,0.0
1,Bundoora,5,2018.0,11.0,55247.75,0.0,0.0,0.0,22.1,22.1,other,0.0,0.0
1,Bundoora,5,2018.0,12.0,51063.69,0.0,0.0,0.0,20.43,20.43,other,0.0,0.0
1,Bundoora,5,2019.0,1.0,52055.36,0.0,0.0,0.0,20.82,20.82,other,0.0,0.0
1,Bundoora,5,2019.0,2.0,52247.27,0.0,0.0,0.0,20.9,20.9,other,0.0,0.0
1,Bundoora,5,2019.0,3.0,53307.06,0.0,0.0,0.0,21.32,21.32,other,0.0,0.0
1,Bundoora,5,2019.0,4.0,55645.25,0.0,0.0,0.0,22.26,22.26,other,0.0,0.0
1,Bundoora,5,2019.0,5.0,49972.78,0.0,0.0,0.0,19.99,19.99,other,0.0,0.0
1,Bundoora,5,2019.0,6.0,45159.0,0.0,0.0,0.0,18.06,18.06,other,0.0,0.0
1,Bundoora,5,2019.0,7.0,50887.04,0.0,0.0,0.0,20.35,20.35,other,0.0,0.0
1,Bundoora,5,2019.0,8.0,48523.78,0.0,0.0,0.0,19.41,19.41,other,0.0,0.0
1,Bundoora,5,2019.0,9.0,47296.06,0.0,0.0,0.0,18.92,18.92,other,0.0,0.0
1,Bundoora,5,2019.0,10.0,51243.82,0.0,0.0,0.0,20.5,20.5,other,0.0,0.0
1,Bundoora,5,2019.0,11.0,53339.5,0.0,0.0,0.0,21.34,21.34,other,0.0,0.0
1,Bundoora,5,2019.0,12.0,53417.48,0.0,0.0,0.0,21.37,21.37,other,0.0,0.0
1,Bundoora,5,2020.0,1.0,53251.28,0.0,0.0,0.0,21.3,21.3,other,0.0,0.0
1,Bundoora,5,2020.0,2.0,46474.83,0.0,0.0,0.0,18.59,18.59,other,0.0,0.0
1,Bundoora,5,2020.0,3.0,42297.67,0.0,0.0,0.0,16.92,16.92,other,0.0,0.0
1,Bundoora,5,2020.0,4.0,44109.38,0.0,0.0,0.0,17.64,17.64,other,0.0,0.0
1,Bundoora,5,2020.0,5.0,41845.96,0.0,0.0,0.0,16.74,16.74,other,0.0,0.0
1,Bundoora,5,2020.0,6.0,39749.54,0.0,0.0,0.0,15.9,15.9,other,0.0,0.0
1,Bundoora,5,2020.0,7.0,31567.11,0.0,0.0,0.0,12.63,12.63,other,0.0,0.0
1,Bundoora,5,2020.0,8.0,32651.86,0.0,0.0,0.0,13.06,13.06,other,0.0,0.0
1,Bundoora,5,2020.0,9.0,25984.1,0.0,0.0,0.0,10.39,10.39,other,0.0,0.0
1,Bundoora,5,2020.0,10.0,18315.6,0.0,0.0,0.0,7.33,7.33,other,0.0,0.0
1,Bundoora,5,2020.0,11.0,16361.59,0.0,0.0,0.0,6.54,6.54,other,0.0,0.0
1,Bundoora,5,2020.0,12.0,14126.12,0.0,0.0,0.0,5.65,5.65,other,0.0,0.0
1,Bundoora,5,2021.0,1.0,12986.24,0.0,0.0,0.0,5.19,5.19,other,0.0,0.0
1,Bundoora,5,2021.0,2.0,11791.62,0.0,0.0,0.0,4.72,4.72,other,0.0,0.0
1,Bundoora,5,2021.0,3.0,13243.42,0.0,0.0,0.0,5.3,5.3,other,0.0,0.0
1,Bundoora,5,2021.0,4.0,14291.54,0.0,0.0,0.0,5.72,5.72,other,0.0,0.0
1,Bundoora,5,2021.0,5.0,16916.59,0.0,0.0,0.0,6.77,6.77,other,0.0,0.0
1,Bundoora,5,2021.0,6.0,14939.24,0.0,0.0,0.0,5.98,5.98,other,0.0,0.0
1,Bundoora,5,2021.0,7.0,15046.87,0.0,0.0,0.0,6.02,6.02,other,0.0,0.0
1,Bundoora,5,2021.0,8.0,14881.6,0.0,0.0,0.0,5.95,5.95,other,0.0,0.0
1,Bundoora,5,2021.0,9.0,13385.31,0.0,0.0,0.0,5.35,5.35,other,0.0,0.0
1,Bundoora,5,2021.0,10.0,13462.4,0.0,0.0,0.0,5.38,5.38,other,0.0,0.0
1,Bundoora,5,2021.0,11.0,12485.71,0.0,0.0,0.0,4.99,4.99,other,0.0,0.0
1,Bundoora,5,2021.0,12.0,12497.48,0.0,0.0,0.0,5.0,5.0,other,0.0,0.0
1,Bundoora,5,2022.0,1.0,12106.52,0.0,0.0,0.0,4.84,4.84,other,0.0,0.0
1,Bundoora,5,2022.0,2.0,10037.86,0.0,0.0,0.0,4.02,4.02,other,0.0,0.0
1,Bundoora,5,2022.0,3.0,11143.61,0.0,0.0,0.0,4.46,4.46,other,0.0,0.0
1,Bundoora,5,2022.0,4.0,12301.18,0.0,0.0,0.0,4.92,4.92,other,0.0,0.0
1,Bundoora,6,2018.0,1.0,1933.72,0.0,0.0,0.0,0.77,0.77,other,6210.75,0.00012
1,Bundoora,6,2018.0,2.0,1497.46,0.0,0.0,0.0,0.6,0.6,other,6210.75,0.0001
1,Bundoora,6,2018.0,3.0,1268.4,0.0,0.0,0.0,0.51,0.51,other,6210.75,8e-05
1,Bundoora,6,2018.0,4.0,874.75,0.0,0.0,0.0,0.35,0.35,other,6210.75,6e-05
1,Bundoora,6,2018.0,5.0,1913.95,2.68,0.0,0.01,0.77,0.78,other,6210.75,0.00013
1,Bundoora,6,2018.0,6.0,1561.78,2.96,0.0,0.02,0.62,0.64,other,6210.75,0.0001
1,Bundoora,6,2018.0,7.0,1540.0,3.17,0.0,0.02,0.62,0.63,other,6210.75,0.0001
1,Bundoora,6,2018.0,8.0,1410.87,3.08,0.0,0.02,0.56,0.58,other,6210.75,9e-05
1,Bundoora,6,2018.0,9.0,1126.82,2.91,0.0,0.02,0.45,0.47,other,6210.75,8e-05
1,Bundoora,6,2018.0,10.0,1044.17,2.71,0.0,0.01,0.42,0.43,other,6210.75,7e-05
1,Bundoora,6,2018.0,11.0,1037.01,2.43,0.0,0.01,0.41,0.43,other,6210.75,7e-05
